,flowers,weapons,racial1,racial2,racial3,gender1,gender2,gender3,disease,young_old,ceatI1,ceatI2,ceatI3,ceatI4,model,
gpt-neo,1.09,0.85,0.9,1.09,1.4,1.08,1.38,0.89,0.64,0.62,-1.42,-0.23,-0.17,0.85,gpt-neo,9
t5-small,1.26,0.58,1.47,1.39,1.17,1.05,1.27,0.66,0.31,0.78,0.39,-0.02,0.78,-0.28,t5-small,9
gpt2,1.45,1.16,1.33,1.03,0.44,1.24,1.28,1.32,1.53,1.54,1.16,1.26,0.97,1.31,gpt2,9
mistral-7b-instruct,1.249353585,1.25841191,0.53305395,0.978805506,0.408463012,1.275563464,1.042983575,0.756251643,1.449305055,1.408828629,,,,,mistral-7b-instruct,9
mistral-7b,1.399852138,1.33804475,0.308745175,0.482052659,0.275882858,1.283909225,0.926199934,1.067063816,1.335635152,1.166816552,,,,,mistral-7b,9
gpt2-large,1.55,1.66,0.78,0.28,0.77,0.77,0.89,0.13,1.64,1.06,,,,,,
